architecture,epochs,batch_size,optimizer,test_score,history_loss,history_score
"[{'bias_regularizer': None, 'bias_initializer': {'config': {}, 'class_name': 'Zeros'}, 'activation': 'relu', 'name': 'conv2d_1', 'trainable': True, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, 'filters': 8, 'strides': (1, 1), 'kernel_initializer': {'config': {'seed': None, 'mode': 'fan_avg', 'distribution': 'uniform', 'scale': 1.0}, 'class_name': 'VarianceScaling'}, 'kernel_size': (3, 3), 'use_bias': True, 'padding': 'same', '_type': <class 'keras.layers.convolutional.Conv2D'>, 'dilation_rate': (1, 1), 'kernel_regularizer': None, 'dtype': 'float32', 'data_format': 'channels_last'}, {'_type': <class 'keras.layers.core.Flatten'>, 'name': 'flatten_1', 'trainable': True, 'data_format': 'channels_last', 'dtype': 'float32'}]",2,2048,"{'epsilon': 1e-07, 'beta_2': 0.9990000128746033, 'decay': 0.0, '_type': <class 'keras.optimizers.Adam'>, 'beta_1': 0.8999999761581421, 'learning_rate': 0.0010000000474974513, 'amsgrad': False}",0.7936000227928162,"[1.4514529143015544, 0.5082626229604086]","[0.7091500163078308, 0.8678333163261414]"
"[{'bias_regularizer': None, 'bias_initializer': {'config': {}, 'class_name': 'Zeros'}, 'activation': 'relu', 'name': 'conv2d_2', 'trainable': True, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, 'filters': 16, 'strides': (1, 1), 'kernel_initializer': {'config': {'seed': None, 'mode': 'fan_avg', 'distribution': 'uniform', 'scale': 1.0}, 'class_name': 'VarianceScaling'}, 'kernel_size': (3, 3), 'use_bias': True, 'padding': 'same', '_type': <class 'keras.layers.convolutional.Conv2D'>, 'dilation_rate': (1, 1), 'kernel_regularizer': None, 'dtype': 'float32', 'data_format': 'channels_last'}, {'_type': <class 'keras.layers.core.Flatten'>, 'name': 'flatten_2', 'trainable': True, 'data_format': 'channels_last', 'dtype': 'float32'}, {'bias_regularizer': None, 'bias_initializer': {'config': {}, 'class_name': 'Zeros'}, 'activation': 'relu', 'name': 'dense_1', 'trainable': True, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, 'kernel_initializer': {'config': {'seed': None, 'mode': 'fan_avg', 'distribution': 'uniform', 'scale': 1.0}, 'class_name': 'VarianceScaling'}, 'units': 32, 'use_bias': True, '_type': <class 'keras.layers.core.Dense'>, 'kernel_regularizer': None, 'dtype': 'float32'}]",2,2048,"{'epsilon': 1e-07, 'beta_2': 0.9990000128746033, 'decay': 0.0, '_type': <class 'keras.optimizers.Adam'>, 'beta_1': 0.8999999761581421, 'learning_rate': 0.0010000000474974513, 'amsgrad': False}",0.8819000124931335,"[0.8562024406750997, 0.2466905377149582]","[0.7585166692733765, 0.9282500147819519]"
