hidden_layer,activation,epoch,eta,beta,alpha,mu,batch_size,test_score,history
"(10, 10, 5)",Tanh,30,0.3,0.1,0.001,0.95,32,0.2305,"[1.8143341222654958, 1.8078097863190215, 1.8018362959595748, 1.7962574536801077, 1.7910436337262647, 1.786167661631185, 1.781604480927519, 1.7773309526461265, 1.7733256768791636, 1.7695688330145032, 1.766042035933534, 1.762728205929581, 1.7596114504692228, 1.7566769562052278, 1.753910889874472, 1.7513003068903255, 1.7488330665762064, 1.7464977530929742, 1.7442836011928748, 1.7421804259908396, 1.7401785559826293, 1.7382687685602158, 1.7364422272787547, 1.7346904201163071, 1.7330050979365919, 1.7313782123149384, 1.729801851816128, 1.7282681757172362, 1.7267693440448262, 1.725297442639714]"
"(10, 10, 5)",Tanh,30,0.3,0.1,0.001,0.9,32,0.426,"[1.765297757325525, 1.7620180887383985, 1.7587733221460284, 1.7555359511354576, 1.7522976921887705, 1.7490500300915104, 1.7457841945213666, 1.7424911396895038, 1.7391615279378136, 1.7357857184002858, 1.732353762050629, 1.7288554046850158, 1.7252800996204996, 1.7216170321138433, 1.717855157704831, 1.7139832568390114, 1.7099900081968884, 1.7058640831128626, 1.7015942632643175, 1.6971695834020604, 1.6925795002303323, 1.687814087585905, 1.6828642567832417, 1.6777219993820103, 1.6723806477248166, 1.6668351464636217, 1.6610823260724537, 1.6551211672173722, 1.6489530430555157, 1.6425819253262326]"
"(10, 10, 5)",LeakyReLu(0.1),30,0.01,0.1,0.001,0.95,32,0.1185,"[1.8120326055686675, 1.8118192270149607, 1.8116108924658192, 1.8114030315805132, 1.811195641408375, 1.8109887205826498, 1.8107822679017995, 1.8105762822637463, 1.8103707627804162, 1.8101657058905598, 1.8099611095307777, 1.8097569733840506, 1.8095532979656643, 1.8093500802710347, 1.8091473218991725, 1.8089450207933213, 1.808743175424417, 1.8085417868485756, 1.8083408556775813, 1.8081403778527534, 1.8079403505669116, 1.8077407754766956, 1.8075416481100492, 1.8073429700372245, 1.807144740999326, 1.8069469565528289, 1.8067496163988734, 1.806552719761254, 1.8063562700456142, 1.8061602615194823]"
"(10, 10, 5)",LeakyReLu(0.1),30,0.01,0.1,0.001,0.9,32,0.2845,"[1.7788898507306679, 1.7788200116702095, 1.7787510253946055, 1.7786821124989731, 1.7786132728110942, 1.7785445082957392, 1.7784758184212988, 1.7784072014541867, 1.7783386544544042, 1.778270177417434, 1.7782017723686543, 1.7781334408313563, 1.7780651810153871, 1.7779969953905104, 1.777928883027604, 1.7778608438320853, 1.7777928763497164, 1.7777249808406517, 1.7776571582839793, 1.7775894077531635, 1.7775217262360978, 1.7774541127182217, 1.7773865702641998, 1.777319098634959, 1.777251698676471, 1.777184368465616, 1.7771171086078204, 1.777049919673596, 1.7769827985707969, 1.7769157485232097]"
"(10, 10, 5)",LeakyReLu(0.1),30,0.3,0.1,0.001,0.95,32,0.2305,"[1.8117953814245609, 1.805683113405705, 1.8001012736147157, 1.7948834949221537, 1.7900037782430787, 1.7854352421993058, 1.7811482633869353, 1.7771036586377171, 1.7732510990711778, 1.7695678756708666, 1.7661347213334375, 1.763002294777039, 1.7600816685989047, 1.7573460257514963, 1.7547805123743596, 1.752372736876275, 1.750112142660474, 1.747988708450607, 1.745992992367936, 1.74411649234264, 1.742351163538026, 1.740689613690019, 1.73912475531965, 1.737649956196092, 1.7362590065305505, 1.7349461982693277, 1.7337061605725195, 1.732533661768429, 1.7314239019196889, 1.7303725275229862]"
"(10, 10, 5)",LeakyReLu(0.1),30,0.3,0.1,0.001,0.9,32,0.43,"[1.7787516221744197, 1.7767061573001182, 1.774746698175207, 1.7728461896800072, 1.771002172581488, 1.7692121975225625, 1.767471963966244, 1.7657775351692915, 1.764123958985683, 1.7625075231095069, 1.7609244452148027, 1.7593700362504368, 1.757841957114568, 1.7563373397101274, 1.754854373406003, 1.7533895665931787, 1.7519410055530806, 1.7505044005333952, 1.749080543078942, 1.7476752861458642, 1.7462859847330674, 1.744914813668256, 1.7435608793484554, 1.7422201452220656, 1.7408947592573703, 1.7395853418023948, 1.7382895405841174, 1.7370038258952591, 1.7357268331173499, 1.734455974642885]"
"(15, 15)",Tanh,30,0.01,0.1,0.001,0.95,32,0.1875,"[1.84129552928932, 1.840113438965646, 1.8389281408772569, 1.8377472935001788, 1.8365708460815737, 1.8353987421460958, 1.8342309256465898, 1.8330673409637401, 1.83190793290087, 1.8307526466788209, 1.8296014279309105, 1.828454222697959, 1.8273109774233938, 1.8261716389484266, 1.8250361545073048, 1.8239044717226311, 1.8227765386007524, 1.8216523035272343, 1.8205317152623788, 1.8194147229368298, 1.818301276047251, 1.8171913244520495, 1.8160848183671865, 1.8149817083620434, 1.8138819453553574, 1.8127854806112187, 1.8116922657351326, 1.8106022526701504, 1.8095153936930524, 1.8084316414106028]"
"(15, 15)",Tanh,30,0.01,0.1,0.001,0.9,32,0.3,"[1.7568539581323477, 1.7562742177460777, 1.7556938190908113, 1.755113654023928, 1.7545337156671508, 1.7539539971779279, 1.7533744917496998, 1.7527951926117586, 1.752216093029124, 1.7516371863024147, 1.7510584657677286, 1.7504799247965144, 1.7499015567954541, 1.749323355206337, 1.748745313505948, 1.748167425205953, 1.747589683852773, 1.7470120830274838, 1.7464346163456979, 1.7458572774574572, 1.7452800600471228, 1.7447029578332667, 1.7441259645685747, 1.7435490740397337, 1.742972280067333, 1.7423955765057655, 1.7418189572431284, 1.7412424162011242, 1.7406659473349624, 1.7400895446332718]"
"(15, 15)",Tanh,30,0.3,0.1,0.001,0.95,32,0.7475,"[1.8324748501755723, 1.799562492431754, 1.768999527699085, 1.7399133071365338, 1.7113848301594805, 1.6826602715450791, 1.6531415843911725, 1.6223924638958294, 1.5901515965215418, 1.5563440136808977, 1.521080418786427, 1.4846353889992976, 1.4474006266642556, 1.409818823527324, 1.3723130271793167, 1.335229732105412, 1.2988086736734237, 1.263181828578543, 1.2283947051703517, 1.194438743363567, 1.1612844344980162, 1.1289081256241793, 1.0973091027556325, 1.0665164281709956, 1.0365870054038457, 1.007597546459585, 0.9796335381747596, 0.9527780041182667, 0.9271020627525325, 0.9026583356989386]"
"(15, 15)",Tanh,30,0.3,0.1,0.001,0.9,32,0.6825,"[1.750949872657107, 1.7336807415937487, 1.716394196504473, 1.698978371439347, 1.681319338320254, 1.663326833444732, 1.6449333048649686, 1.626092981379439, 1.606780859065996, 1.5869915308974125, 1.5667377669358489, 1.5460487531270786, 1.5249679630505595, 1.5035507392355383, 1.4818617197043658, 1.459972220895625, 1.4379576216658032, 1.4158947579612453, 1.3938593648284325, 1.3719236644301163, 1.3501542482348736, 1.3286104085641235, 1.3073430366318284, 1.2863941367621003, 1.2657969309468222, 1.2455764626775554, 1.2257505655067744, 1.2063310440045978, 1.187324920524697, 1.1687356245421656]"
"(15, 15)",LeakyReLu(0.1),30,0.01,0.1,0.001,0.95,32,0.1625,"[1.8169482016698988, 1.816433929594195, 1.8159245875647438, 1.8154166353878631, 1.8149101939834693, 1.8144052242355906, 1.8139014474833417, 1.8133987543288355, 1.8128972791534863, 1.8123970997446879, 1.8118982332150537, 1.8114004153229963, 1.8109035409774066, 1.8104078727447637, 1.809913377687366, 1.8094201442391473, 1.808927997269564, 1.8084368629442076, 1.8079467508113738, 1.8074577938337362, 1.806970019554738, 1.8064833922649541, 1.8059977150691762, 1.8055129148893962, 1.805029179085598, 1.8045462312028817, 1.804064325778547, 1.8035833472017788, 1.8031030732131732, 1.8026234297926966]"
"(15, 15)",LeakyReLu(0.1),30,0.01,0.1,0.001,0.9,32,0.209,"[1.7822041463407705, 1.7819708173749083, 1.7817376367843192, 1.7815042283539981, 1.7812706218205656, 1.7810368591196557, 1.7808029369263236, 1.780568945572602, 1.7803348132946193, 1.7801004112565448, 1.7798657710221946, 1.7796309487094235, 1.779395998340388, 1.7791608102237575, 1.7789253856243228, 1.778689750392508, 1.77845391701551, 1.7782179865427927, 1.7779820482548818, 1.7777461102948944, 1.7775100675393334, 1.7772738959838437, 1.7770374973534369, 1.776800922652003, 1.7765642372935972, 1.7763273437944977, 1.7760904133601239, 1.7758534000711228, 1.7756162096961734, 1.7753788778024358]"
"(15, 15)",LeakyReLu(0.1),30,0.3,0.1,0.001,0.95,32,0.669,"[1.8146109639338517, 1.7998811707218985, 1.7860882786604693, 1.7729527294833778, 1.7605502255951115, 1.7484275142706833, 1.7361260614074319, 1.7233364424933912, 1.7097427569197816, 1.6951107983686027, 1.6791457731954005, 1.6615508768626328, 1.6419914091489745, 1.6202830154705359, 1.5966560414017155, 1.5714800632741137, 1.5453145369947732, 1.5186606838516632, 1.491791236612616, 1.4646865556053423, 1.4372153497273827, 1.4092962408113743, 1.3810755453018841, 1.352906709881077, 1.3251918886215672, 1.2982476226356716, 1.272145286051748, 1.246724181355413, 1.2216990855914445, 1.196731713638972]"
"(15, 15)",LeakyReLu(0.1),30,0.3,0.1,0.001,0.9,32,0.526,"[1.7803070780491057, 1.773196895972261, 1.7659223926792937, 1.758453045170871, 1.750777952797336, 1.742892002990617, 1.7347567801041202, 1.7263404886408056, 1.7176015565781428, 1.7084700545018483, 1.6988894620351644, 1.6888005950933664, 1.6781562290398961, 1.666905518300283, 1.655004912502592, 1.6424279013644176, 1.6291772816331922, 1.6152591305898492, 1.6006991934398902, 1.5855595052169642, 1.5699078773533914, 1.5538463071443964, 1.537489023868208, 1.5209487192618174, 1.5043380425388053, 1.4877467502193513, 1.4712354717704554, 1.4548196256724941, 1.4384968880330111, 1.4222325713132908]"
