hidden_layer,activation,epoch,eta,beta,alpha,mu,batch_size,test_score,history_loss,history_score
"(32, 16, 8)",ReLu,30,0.01,0.3,0.01,0.95,256,0.3805,"[20.52875192520135, 20.452147501237718, 20.036371361595805, 19.46749142665891, 19.29786963152731, 19.064947197262253, 18.903612234851902, 18.808838488471277, 18.677733126669043, 18.413314184710945, 18.03889004740904, 17.676867150193914, 17.37981776241716, 17.025238156011373, 16.793092885785757, 16.599651655866694, 16.444567683935695, 16.144113950164208, 16.044481838496274, 15.903665161237909, 15.829987959932051, 15.626421452575832, 15.475039288055267, 15.443769830174315, 15.305182631903978, 15.248819052608239, 15.243457055129689, 15.125419325656877, 15.003880443128201, 14.999211587566833, 14.949423689015127]","[0.1177001127395716, 0.12175873731679819, 0.13844419391206314, 0.16257046223224353, 0.1729425028184893, 0.18196166854565954, 0.18917700112739572, 0.1948139797068771, 0.20022547914317926, 0.21307779030439683, 0.23043968432919956, 0.2439684329199549, 0.2597519729425028, 0.274859075535513, 0.28680947012401353, 0.295152198421646, 0.3050732807215333, 0.31499436302142053, 0.32198421645997743, 0.3289740698985344, 0.33483652762119503, 0.34047350620067646, 0.34565952649379933, 0.3506200676437429, 0.3571589627959414, 0.36189402480270577, 0.36482525366403606, 0.36910935738444195, 0.3745208568207441, 0.37609921082299885, 0.3788049605411499]"
"(32, 16, 8)",ReLu,30,0.01,0.3,0,0.95,256,0.4285,"[20.107162496288236, 20.07344827345727, 19.947682181503907, 19.811500802854532, 19.78031514673589, 19.56749411511542, 19.412167874215605, 19.18062340813008, 19.021985948916516, 18.85919441581842, 18.197071161005983, 17.402137949827267, 16.84452878579083, 16.40768878425245, 16.136590310309877, 15.878435689775621, 15.740628803954046, 15.485785401733548, 15.25424093564802, 14.993557748401445, 14.630407405336465, 14.550516738020942, 14.33522734365749, 14.062864586358751, 13.897544486548336, 13.774306961307284, 13.628131723747313, 13.41741783105377, 13.311639456921617, 13.232952868992916, 13.255047725741065]","[0.12559188275084554, 0.12852311161217586, 0.13325817361894024, 0.13799323562570462, 0.143630214205186, 0.14994363021420518, 0.1564825253664036, 0.16505073280721533, 0.17361894024802707, 0.18331454340473508, 0.21037204058624578, 0.24577226606538896, 0.2676437429537768, 0.2850056369785795, 0.29582863585118374, 0.3093573844419391, 0.3179255918827508, 0.3294250281848929, 0.3379932356257046, 0.3488162344983089, 0.3614430665163472, 0.3706877113866967, 0.37993235625704624, 0.38940248027057495, 0.3963923337091319, 0.40383314543404736, 0.40901916572717023, 0.41758737316798195, 0.42142051860202934, 0.42638105975197294, 0.42773393461104847]"
"(10, 10, 10)",Tanh,30,0.01,0.2,0.01,0.95,256,0.195,"[20.895060848603926, 20.849643197297898, 20.89303721312293, 20.88620490290915, 20.915495152905095, 20.914998216490716, 20.83506800873679, 20.89152420950605, 20.848967503698447, 20.849903415582624, 20.89758692436951, 20.94379979783123, 20.97891457309946, 20.92256402010574, 21.04007368751893, 20.96155546468379, 21.013201340295293, 21.07545298395601, 21.07998457491018, 21.054738008403277, 21.0930369281538, 21.0582252833994, 21.10654005204094, 21.08717811544711, 21.070165236278292, 20.99048920146863, 20.930698530761063, 20.671660116400563, 20.168892559387277, 19.408257598999793, 18.664536482340903]","[0.09763246899661782, 0.09785794813979706, 0.09695603156708005, 0.09740698985343856, 0.0971815107102593, 0.09830890642615558, 0.09785794813979706, 0.09830890642615558, 0.09853438556933483, 0.10056369785794814, 0.09673055242390079, 0.09673055242390079, 0.09582863585118377, 0.0971815107102593, 0.09492671927846674, 0.09447576099210823, 0.09379932356257047, 0.0931228861330327, 0.09177001127395716, 0.09177001127395716, 0.09267192784667418, 0.0931228861330327, 0.0931228861330327, 0.09289740698985344, 0.09492671927846674, 0.09650507328072154, 0.10236753100338218, 0.11206313416009019, 0.13370913190529876, 0.1688838782412627, 0.1995490417136415]"
"(10, 10, 10)",Tanh,30,0.01,0.2,0,0.95,256,0.194,"[19.859302754511294, 20.021371839977302, 20.073448273457277, 20.063454414546666, 19.996808620486167, 19.977242330450345, 19.983503543261804, 19.994761685528573, 19.897291459165476, 19.893558813066328, 19.858580306879205, 19.79735287005939, 19.76237436387227, 19.728660141041303, 19.617041981883062, 19.619149120810004, 19.58958897186357, 19.48212488658986, 19.421740305340826, 19.39302301196517, 19.30765378343962, 19.295191561786023, 19.163164257021187, 19.053653236789884, 18.89537700139237, 18.852933203006955, 18.727588538838965, 18.653477452580187, 18.516874646145432, 18.358598410747913, 18.315733184577113]","[0.1278466741826381, 0.12852311161217586, 0.12852311161217586, 0.12897406989853438, 0.13010146561443067, 0.1314543404735062, 0.13258173618940247, 0.13348365276211951, 0.1350620067643743, 0.13664036076662908, 0.13821871476888387, 0.1395715896279594, 0.14114994363021421, 0.14408117249154453, 0.1472378804960541, 0.14949267192784668, 0.1512965050732807, 0.15332581736189402, 0.1555806087936866, 0.15828635851183764, 0.16166854565952649, 0.16505073280721533, 0.16865839909808342, 0.17406989853438556, 0.1774520856820744, 0.18218714768883879, 0.18737316798196166, 0.19165727170236754, 0.1959413754227734, 0.19932356257046224, 0.2036076662908681]"
"(10, 10, 10)",Tanh,30,0.01,0.3,0.01,0.95,256,0.3855,"[18.14400466229405, 17.958492723323253, 17.797545229117613, 17.59625730593335, 17.447508592438485, 17.379009386501508, 17.260781454638103, 17.10984440521095, 17.0670131703759, 16.8902706738169, 16.879981593753673, 16.851567381503454, 16.896305222891357, 16.812580398069947, 16.767829153532507, 16.77169364273638, 16.678369221508017, 16.698639785965497, 16.70295644410941, 16.66219067057853, 16.579243624133618, 16.50084489007705, 16.306598018055755, 15.881526196643284, 15.629730889307861, 15.483254779457077, 15.272576506283462, 15.144789328971674, 15.074079751339411, 14.941318797050247, 14.840260619527887]","[0.22029312288613304, 0.22593010146561443, 0.23337091319052988, 0.24126268320180383, 0.2491544532130778, 0.25343855693348366, 0.25997745208568207, 0.26471251409244645, 0.267869222096956, 0.2723788049605412, 0.27643742953776773, 0.27756482525366405, 0.2786922209695603, 0.2813979706877114, 0.2809470124013529, 0.28207440811724915, 0.2847801578354002, 0.28613303269447576, 0.28680947012401353, 0.2890642615558061, 0.29041713641488165, 0.2962795941375423, 0.30597519729425027, 0.31905298759864714, 0.3332581736189402, 0.342728297632469, 0.34994363021420516, 0.35625704622322435, 0.36189402480270577, 0.36753100338218714, 0.37316798196166856]"
"(10, 10, 10)",Tanh,30,0.01,0.3,0,0.95,256,0.245,"[18.927947348805855, 18.763831328382263, 18.561847011243167, 18.42151155870927, 18.257877170040402, 18.059264275184407, 17.82603409795733, 17.812729020732966, 17.665710927602216, 17.58533862853197, 17.531215260094395, 17.42501545817685, 17.465412321604674, 17.384197166963652, 17.375467591409205, 17.4062920237118, 17.411710380952492, 17.437537883799788, 17.370892089739286, 17.40713487928258, 17.327966659599145, 17.40544916814103, 17.44668888713962, 17.38835124084818, 17.413757315910086, 17.413757315910082, 17.434166461516693, 17.52248568453995, 17.512491825629347, 17.470409251059976, 17.38666552970663]","[0.18444193912063134, 0.1871476888387824, 0.1939120631341601, 0.19977452085682074, 0.20856820744081173, 0.2189402480270575, 0.22570462232243518, 0.22818489289740698, 0.23246899661781284, 0.23562570462232243, 0.23900789177001128, 0.24239007891770012, 0.24103720405862458, 0.24329199549041713, 0.2450958286358512, 0.24464487034949267, 0.24487034949267192, 0.24464487034949267, 0.24577226606538896, 0.2455467869222097, 0.24441939120631342, 0.24374295377677566, 0.24329199549041713, 0.24216459977452084, 0.24148816234498308, 0.24148816234498308, 0.24103720405862458, 0.2408117249154453, 0.24126268320180383, 0.2408117249154453, 0.24036076662908681]"
"(10, 10, 10)",Sigmoid,30,0.01,0.2,0.01,0.95,256,0.235,"[17.937036569314788, 17.646689604607065, 17.71184113822819, 17.76718252192229, 17.73951274283348, 17.774535756037125, 17.705567641332344, 17.75131712528308, 17.745138444935996, 17.759940734242644, 17.743652103788772, 17.71710805694509, 17.774051681933795, 17.78950539022398, 17.836382001285685, 17.7480432808144, 17.75363194420618, 17.853154674786563, 17.79665142529878, 17.792435293295373, 17.819683023792958, 17.867986700076496, 17.822786442556197, 17.902811437746532, 17.816442114038335, 17.876145870047676, 17.85279553410112, 17.913045087236057, 17.84859855115474, 17.951094265531125, 17.87683794438017]","[0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765]"
"(10, 10, 10)",Sigmoid,30,0.01,0.2,0,0.95,256,0.235,"[17.83903815533499, 17.70363942828705, 17.6099018480231, 17.693224141591056, 17.609901848023096, 17.67239356819907, 17.65156299480708, 17.682808854895068, 17.65156299480708, 17.599486561327105, 17.693224141591056, 17.63073242141509, 17.6099018480231, 17.69322414159106, 17.599486561327105, 17.6099018480231, 17.63073242141509, 17.63073242141509, 17.536994841151134, 17.661978281503075, 17.63073242141509, 17.651562994807076, 17.661978281503075, 17.6099018480231, 17.59948656132711, 17.557825414543125, 17.67239356819907, 17.620317134719095, 17.724470001679045, 17.661978281503075, 17.578655987935115]","[0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765]"
"(10, 10, 10)",Sigmoid,30,0.01,0.3,0.01,0.95,256,0.112,"[20.78629176141324, 20.725802435452596, 20.70912872242488, 20.682985835269594, 20.730236199941775, 20.704893846212077, 20.70063461566989, 20.76951618094126, 20.724060733412934, 20.77257792995969, 20.77967601279388, 20.787024042800585, 20.721723418774662, 20.771258426798514, 20.758578530721657, 20.819091956473418, 20.75491846713924, 20.826450703306737, 20.814978354266884, 20.824665548844845, 20.85552356415797, 20.834657869854894, 20.845402868729295, 20.86694078535183, 20.87845454366072, 20.890372953053106, 20.881879817728866, 20.905066351699006, 20.98077842361628, 20.994463490697417, 20.956553204498668]","[0.10800450958286359, 0.10800450958286359, 0.10800450958286359, 0.10800450958286359, 0.10800450958286359, 0.10800450958286359, 0.10800450958286359, 0.10800450958286359, 0.10800450958286359, 0.10800450958286359, 0.10800450958286359, 0.10800450958286359, 0.10800450958286359, 0.10800450958286359, 0.10800450958286359, 0.10800450958286359, 0.10800450958286359, 0.10800450958286359, 0.10800450958286359, 0.10800450958286359, 0.10800450958286359, 0.10800450958286359, 0.10800450958286359, 0.10800450958286359, 0.10800450958286359, 0.10800450958286359, 0.10800450958286359, 0.10800450958286359, 0.10800450958286359, 0.10800450958286359, 0.10800450958286359]"
"(10, 10, 10)",Sigmoid,30,0.01,0.3,0,0.95,256,0.1985,"[18.098818283041453, 18.067572422953464, 18.046741849561478, 18.06757242295346, 18.07798770964946, 17.984250129385504, 17.984250129385508, 18.025911276169488, 18.015495989473493, 18.09881828304145, 18.015495989473493, 18.046741849561474, 18.046741849561474, 18.025911276169484, 18.088402996345458, 18.015495989473497, 18.025911276169484, 18.05715713625747, 18.015495989473493, 18.057157136257473, 18.005080702777494, 18.057157136257473, 18.015495989473493, 18.067572422953464, 18.0050807027775, 18.01549598947349, 18.025911276169484, 18.088402996345458, 17.9946654160815, 18.015495989473493, 18.015495989473493]","[0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495]"
