,000,16.113880,0.096850,1.145265,0.104700
,001,1.691316,0.892167,1.087742,0.886600
,002,0.606192,0.908850,1.061971,0.901100
,003,0.431934,0.920383,1.044254,0.911300
,004,0.340250,0.923367,1.030003,0.914500
,005,0.282221,0.936700,1.016934,0.922500
,006,0.240136,0.943783,1.005217,0.929300
,007,0.201530,0.948750,0.995014,0.932700
,008,0.171586,0.952683,0.986870,0.936000
,009,0.145448,0.955767,0.981024,0.939200
,010,0.127977,0.959417,0.976180,0.941600
,011,0.108702,0.963267,0.971993,0.943000
,012,0.091689,0.966617,0.968481,0.945600
,013,0.080146,0.968883,0.965490,0.947600
,014,0.070366,0.970883,0.963195,0.949400
,015,0.060667,0.972617,0.962189,0.951300
,016,0.053407,0.974533,0.960636,0.951600
,017,0.045864,0.975417,0.959863,0.952500
,018,0.039657,0.977400,0.958518,0.954300
,019,0.034053,0.979350,0.957403,0.954500
,020,0.029112,0.980767,0.956448,0.955000
,021,0.023713,0.982450,0.955690,0.956400
,022,0.019259,0.983733,0.955125,0.957300
,023,0.015809,0.984667,0.954764,0.958000
,024,0.012799,0.985667,0.954288,0.958700
,025,0.009600,0.986450,0.953751,0.959700
,026,0.007119,0.987233,0.953333,0.959700
,027,0.004906,0.988117,0.952926,0.960800
,028,0.002430,0.988967,0.952483,0.961500
,029,0.000355,0.989867,0.952100,0.961700
,030,0.001838,0.990650,0.951628,0.962700
,031,0.003878,0.991250,0.950942,0.963300
,032,0.006099,0.991833,0.950294,0.963600
,033,0.008359,0.992333,0.949169,0.964500
,034,0.010207,0.992783,0.948395,0.965600
,035,0.012074,0.993233,0.947451,0.966600
,036,0.013620,0.993550,0.946655,0.967000
,037,0.015534,0.993900,0.945681,0.967200
,038,0.017267,0.994300,0.944894,0.968300
,039,0.018721,0.994650,0.944342,0.968800
,040,0.020420,0.994850,0.943607,0.969000
,041,0.021684,0.994967,0.942996,0.969300
,042,0.022772,0.995250,0.942531,0.969600
,043,0.024032,0.995517,0.941534,0.970000
,044,0.025309,0.995733,0.940851,0.970100
,045,0.026464,0.995933,0.940039,0.971100
,046,0.027551,0.995983,0.939569,0.971300
,047,0.028507,0.996083,0.938932,0.971400
,048,0.029331,0.996250,0.938530,0.971100
,049,0.029728,0.996317,0.937735,0.971700
,050,0.030757,0.996483,0.936917,0.972300
,99.65,
,97.23,
