hidden_layer,activation,epoch,eta,beta,alpha,mu,batch_size,test_score,history_loss,history_score
"(128,)",ReLu,10,0.01,0.2,0.001,0.85,512,0.2749,"[20.60271357822076, 20.4446705860905, 20.113121967245387, 19.723775803214426, 19.309408183336057, 18.86646182349646, 18.425807402385896, 17.964323491828278, 17.55912365047557, 17.203347659588633, 16.818992557846855]","[0.10838333333333333, 0.11553333333333334, 0.12911666666666666, 0.14595, 0.16438333333333333, 0.18363333333333334, 0.203, 0.22291666666666668, 0.2403, 0.2563166666666667, 0.27336666666666665]"
"(128,)",ReLu,10,0.01,0.2,0,0,512,0.106,"[21.04795614969571, 21.012257746892132, 20.97135068033431, 20.91608802830744, 20.874926880590873, 20.84138816763662, 20.79387499095145, 20.743948043258197, 20.68614457964387, 20.63748803774435, 20.582225385717468]","[0.08613333333333334, 0.08755, 0.08905, 0.09146666666666667, 0.09326666666666666, 0.09495, 0.0971, 0.09928333333333333, 0.10145, 0.10386666666666666, 0.1065]"
"(128,)",ReLu,10,0.01,0.2,0,0.85,512,0.272,"[20.06478910593476, 19.8873134165519, 19.686081138826435, 19.406718904787112, 19.10931690847694, 18.78676087745111, 18.39903302920735, 17.992122053478415, 17.574031506764722, 17.176775615068056, 16.7995921349122]","[0.12855, 0.13616666666666666, 0.14518333333333333, 0.1574, 0.17011666666666667, 0.18415, 0.20081666666666667, 0.21846666666666667, 0.23675, 0.25361666666666666, 0.2708333333333333]"
"(128,)",LeakyReLu(0.03),10,0.001,0.1,0.001,0,512,0.0912,"[20.93207254090121, 20.924200008491496, 20.9315723460655, 20.92471613967609, 20.914683919884226, 20.915958312298883, 20.9117699605621, 20.90351631077185, 20.902376934320703, 20.9061921412494, 20.901876751799357]","[0.09238333333333333, 0.09258333333333334, 0.09276666666666666, 0.09285, 0.093, 0.09323333333333333, 0.09341666666666666, 0.09363333333333333, 0.09368333333333333, 0.09373333333333334, 0.09385]"
"(128,)",LeakyReLu(0.03),10,0.001,0.1,0.001,0.85,512,0.1893,"[19.24989491573927, 19.196309479611728, 19.14793402954453, 19.108451448313733, 19.07595612904121, 19.040030739665315, 19.00562986450976, 18.98545756283063, 18.938098603395325, 18.907127907423746, 18.866756236253902]","[0.16573333333333334, 0.16771666666666665, 0.16961666666666667, 0.1712, 0.17298333333333332, 0.1747, 0.17613333333333334, 0.17766666666666667, 0.17901666666666666, 0.18051666666666666, 0.18228333333333332]"
"(128,)",LeakyReLu(0.03),10,0.001,0.1,0,0,512,0.1139,"[20.4001762354772, 20.4119910093588, 20.40640122386643, 20.405384899231457, 20.411101725303194, 20.39509461230231, 20.40068439779469, 20.39623797751666, 20.392299719556135, 20.4001762354772, 20.389885948548045]","[0.11345, 0.11358333333333333, 0.11368333333333333, 0.1138, 0.11376666666666667, 0.11403333333333333, 0.11415, 0.1142, 0.1143, 0.11431666666666666, 0.11433333333333333]"
"(128,)",LeakyReLu(0.03),10,0.001,0.1,0,0.85,512,0.0928,"[20.823729527103897, 20.81648821407968, 20.806833130047398, 20.773040335934418, 20.766434225807064, 20.75563577656043, 20.750173031647435, 20.743439880940713, 20.71663431869319, 20.700627205692303, 20.701262408589145]","[0.09565, 0.09596666666666667, 0.09653333333333333, 0.09743333333333333, 0.09786666666666667, 0.09848333333333334, 0.09886666666666667, 0.09945, 0.10011666666666667, 0.10081666666666667, 0.10115]"
"(128,)",LeakyReLu(0.03),10,0.001,0.2,0.001,0,512,0.0926,"[20.935352995557775, 20.926722120938567, 20.936766212527044, 20.928770543798294, 20.917471822212782, 20.920020525215623, 20.91736056605964, 20.91330316161554, 20.912167692354075, 20.91204854936798, 20.907737068795942]","[0.09378333333333333, 0.09401666666666667, 0.09408333333333334, 0.09421666666666667, 0.09435, 0.0946, 0.09471666666666667, 0.09475, 0.0948, 0.09495, 0.09506666666666666]"
"(128,)",LeakyReLu(0.03),10,0.001,0.2,0.001,0.85,512,0.1909,"[19.273849671138, 19.2257521076098, 19.184771436727264, 19.14493419038234, 19.115768416315614, 19.07898026136481, 19.036094215932405, 19.016456655616825, 18.97484112999776, 18.947073086525382, 18.910539300478916]","[0.16623333333333334, 0.16805, 0.1697, 0.17108333333333334, 0.17286666666666667, 0.17455, 0.17628333333333332, 0.17786666666666667, 0.17896666666666666, 0.1804, 0.182]"
"(128,)",LeakyReLu(0.03),10,0.001,0.2,0,0,512,0.1139,"[20.39331604419111, 20.407544589080786, 20.4010655195328, 20.401954803588406, 20.40309816880276, 20.390394110865554, 20.396873180413518, 20.393189003611724, 20.38963186738931, 20.39636501809603, 20.386455852905]","[0.11375, 0.11385, 0.11391666666666667, 0.11395, 0.11411666666666667, 0.11416666666666667, 0.11431666666666666, 0.11433333333333333, 0.11441666666666667, 0.11448333333333334, 0.11448333333333334]"
